"","Season","Team","playerID","name","pass.att","pass.comp","passyds","pass.tds","pass.ints","pass.twopta","pass.twoptm","rush.att","rushyds","rushtds","rush.twopta","rush.twoptm","recept","recyds","rec.tds","rec.twopta","rec.twoptm","kick.rets","kickret.avg","kickret.tds","punt.rets","puntret.avg","puntret.tds","fgm","fga","fgyds","totpts.fg","xpmade","xpmissed","xpa","xpb","xppts.tot","tackles","asst.tackles","sacks","defints","forced.fumbs","totalfumbs","recfumbs","totalrecfumbs","fumbyds","fumbslost","games","rushlng","rushlngtd","reclng","reclngtd","puntret.lng","puntret.lngtd","kick.ret.lng","kickret.lngtd"
"1",2017,"ARI","00-0004091","P.Dawson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,179,30,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"2",2017,"ARI","00-0021429","C.Palmer",249,154,1857,9,6,1,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,-2,0,6,4,0,0,0,0,0,0,0
"3",2017,"ARI","00-0022921","L.Fitzgerald",0,0,0,0,0,0,0,0,0,0,0,0,42,465,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,37,19,0,0,0,0
"4",2017,"ARI","00-0022927","K.Dansby",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"5",2017,"ARI","00-0024061","T.Williams",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6",2017,"ARI","00-0024306","F.Rucker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0.5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"7",2017,"ARI","00-0024421","A.Bethea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"8",2017,"ARI","00-0025394","A.Peterson",0,0,0,0,0,0,0,26,134,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,27,27,0,0,0,0,0,0
"9",2017,"ARI","00-0026164","C.Johnson",0,0,0,0,0,0,0,45,114,0,0,0,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,15,0,0,0,0,0
"10",2017,"ARI","00-0026240","T.Branch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,15,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0
