"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Who's ready for some football...Conor is!!! Let's go @Patriots!!! Beat the @Saints #NFLSunday #NFL #lilpatsfan… https://t.co/YYuVlKPIhA",FALSE,0,NA,2017-09-16 19:17:18,TRUE,NA,"909134113063436289",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","EdB_SP",0,FALSE,FALSE,NA,NA
"2","@KeekoMetty @lalaHitchens @LackingTact @ladydog44 @Verizon2004 @bos_fan_in_ak @Jm3cooper @JMFTrepanier @Amosotis11… https://t.co/QCLv2MHUge",FALSE,4,"KeekoMetty",2017-09-16 18:28:41,TRUE,"909068425032585218","909121879344128002","1950928128","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","boston_girl79",0,FALSE,FALSE,NA,NA
"3","RT @vivacioususa: @beatsbydre Tom Brady is GOAT<ed><U+00A0><U+00BD><ed><U+00B0><U+0090><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086>
DEAL WITH IT HATERS<U+203C><U+FE0F><ed><U+00A0><U+00BE><ed><U+00B4><U+0091>#GoPats https://t.co/JI8lC0PzKl",FALSE,0,NA,2017-09-16 18:06:05,FALSE,NA,"909116191767252992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","genxgurl1",1,TRUE,FALSE,NA,NA
"4","@beatsbydre Tom Brady is GOAT<ed><U+00A0><U+00BD><ed><U+00B0><U+0090><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086>
DEAL WITH IT HATERS<U+203C><U+FE0F><ed><U+00A0><U+00BE><ed><U+00B4><U+0091>#GoPats https://t.co/JI8lC0PzKl",FALSE,1,"beatsbydre",2017-09-16 17:30:26,FALSE,"908873076867133440","909107218749980672","14423603","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vivacioususa",1,FALSE,FALSE,NA,NA
"5","@Vivian_pats11 @Lesliej23 @jade78052492 @boston_girl79 @JulesEdelman @ewjjr1 Can't wait #GoPats <ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BF><U+0088><ed><U+00A0><U+00BD><ed><U+00B1><U+008A>",FALSE,6,"Vivian_pats11",2017-09-16 17:09:14,FALSE,"909101060001689600","909101883746287621","880933604104183808","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HeartEyes4Brady",0,FALSE,FALSE,NA,NA
"6","@OnlyInBOS Me when I realize it's the last Saturday of summer...

#SaturdayMotivation   #GoPats https://t.co/AVMlPqdEIt",FALSE,1,"OnlyInBOS",2017-09-16 16:49:01,FALSE,"909039177492135936","909096799415230464","700903452","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vivacioususa",0,FALSE,FALSE,NA,NA
"7","@Patriots @NFLonCBS ""Haters are our Motivators"" You guys got this<ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>#NEvsNO 
Let's #GoPats Show the world what ""C… https://t.co/uXDOfCYavY",FALSE,0,"Patriots",2017-09-16 16:19:58,TRUE,"909054280841142272","909089486813974530","31126587","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vivacioususa",0,FALSE,FALSE,NA,NA
"8","@rwerhle Thank you, Have a great day and oh #GoPats <ed><U+00A0><U+00BD><ed><U+00B8><U+0086><ed><U+00A0><U+00BD><ed><U+00B1><U+008A>",FALSE,0,"rwerhle",2017-09-16 13:02:11,FALSE,"909039523081986048","909039715147493376","506816434","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HeartEyes4Brady",0,FALSE,FALSE,NA,NA
"9","RT @gtsavage3359: PATS SUPERBOWL 52 CHAMPS #gopats <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0086>",FALSE,0,NA,2017-09-16 06:54:32,FALSE,NA,"908947192429215745",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tronimtere1973",1,TRUE,FALSE,NA,NA
"10","RT @RedSox: Off night plans <U+2714><U+FE0F>
Good luck on a new season, @Patriots! #GoPats https://t.co/YDbmtkoB6x",FALSE,0,NA,2017-09-16 03:57:52,FALSE,NA,"908902731351494656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NinaNaNinalama",423,TRUE,FALSE,NA,NA
